2017-08-17 23:23:05 install libpam0g:amd64 <none> 1.1.8-1ubuntu2
2017-08-17 23:23:05 status half-installed libpam0g:amd64 1.1.8-1ubuntu2
2017-08-17 23:23:05 status unpacked libpam0g:amd64 1.1.8-1ubuntu2
2017-08-17 23:23:05 status unpacked libpam0g:amd64 1.1.8-1ubuntu2
2017-08-17 23:23:05 install libpcre3:amd64 <none> 1:8.31-2ubuntu2
2017-08-17 23:23:05 status half-installed libpcre3:amd64 1:8.31-2ubuntu2
2017-08-17 23:23:05 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2017-08-17 23:23:05 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2017-08-17 23:23:05 install libplymouth2:amd64 <none> 0.8.8-0ubuntu17
2017-08-17 23:23:05 status half-installed libplymouth2:amd64 0.8.8-0ubuntu17
2017-08-17 23:23:05 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2017-08-17 23:23:05 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2017-08-17 23:23:05 install libpng12-0:amd64 <none> 1.2.50-1ubuntu2
2017-08-17 23:23:05 status half-installed libpng12-0:amd64 1.2.50-1ubuntu2
2017-08-17 23:23:05 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2017-08-17 23:23:05 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2017-08-17 23:23:05 install libprocps3:amd64 <none> 1:3.3.9-1ubuntu2
2017-08-17 23:23:05 status half-installed libprocps3:amd64 1:3.3.9-1ubuntu2
2017-08-17 23:23:05 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2017-08-17 23:23:05 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2017-08-17 23:23:05 install libselinux1:amd64 <none> 2.2.2-1
2017-08-17 23:23:05 status half-installed libselinux1:amd64 2.2.2-1
2017-08-17 23:23:05 status unpacked libselinux1:amd64 2.2.2-1
2017-08-17 23:23:05 status unpacked libselinux1:amd64 2.2.2-1
2017-08-17 23:23:05 install libsemanage-common:all <none> 2.2-1
2017-08-17 23:23:05 status half-installed libsemanage-common:all 2.2-1
2017-08-17 23:23:05 status unpacked libsemanage-common:all 2.2-1
2017-08-17 23:23:05 status unpacked libsemanage-common:all 2.2-1
2017-08-17 23:23:05 install libsemanage1:amd64 <none> 2.2-1
2017-08-17 23:23:05 status half-installed libsemanage1:amd64 2.2-1
2017-08-17 23:23:05 status unpacked libsemanage1:amd64 2.2-1
2017-08-17 23:23:05 status unpacked libsemanage1:amd64 2.2-1
2017-08-17 23:23:05 install libsepol1:amd64 <none> 2.2-1
2017-08-17 23:23:05 status half-installed libsepol1:amd64 2.2-1
2017-08-17 23:23:05 status unpacked libsepol1:amd64 2.2-1
2017-08-17 23:23:05 status unpacked libsepol1:amd64 2.2-1
2017-08-17 23:23:05 install libslang2:amd64 <none> 2.2.4-15ubuntu1
2017-08-17 23:23:05 status half-installed libslang2:amd64 2.2.4-15ubuntu1
2017-08-17 23:23:05 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2017-08-17 23:23:05 status unpacked libslang2:amd64 2.2.4-15ubuntu1
